FECHA;DESCRIPCION;CARGOS / DEBE;ABONOS / HABER;CUENTA_ORIGEN
05MAR;Pago YAPE de 56005;0.0;15.0;Yape
05MAR;Pago YAPE a 191006;10.0;0.0;Yape
06MAR;Pago YAPE de 19496;0.0;25.0;Yape
06MAR;CLAR000963438681;5.0;0.0;Yape
06MAR;Pago YAPE a 192943;390.0;0.0;Yape
06MAR;Pago YAPE a 570005;106.0;0.0;Yape
06MAR;TRAN.CEL.BM.;0.0;23.0;Yape
06MAR;Pago YAPE a 570799;156.0;0.0;Yape
07MAR;Pago YAPE a 191002;15.0;0.0;Yape
07MAR;Pago YAPE a 191985;92.0;0.0;Yape
07MAR;Pago YAPE de 44596;0.0;25.0;Yape
07MAR;Pago YAPE de 39090;0.0;25.0;Yape
08MAR;Pago YAPE a 193756;30.9;0.0;Yape
09MAR;Pago YAPE de 41591;0.0;15.0;Yape
09MAR;Pago YAPE de 19439;0.0;30.0;Yape
09MAR;Pago YAPE de 43595;0.0;25.0;Yape
09MAR;Pago YAPE de 19170;0.0;30.0;Yape
09MAR;Pago YAPE de 48079;0.0;23.0;Yape
10MAR;CLAR000940708423;5.0;0.0;Yape
11MAR;Pago YAPE a 191981;7.5;0.0;Yape
11MAR;CLAR000991990346;5.0;0.0;Yape
12MAR;Pago YAPE de 19101;0.0;25.0;Yape
12MAR;Pago YAPE a 194967;20.0;0.0;Yape
13MAR;Pago YAPE de 19474;0.0;20.0;Yape
14MAR;Pago YAPE de 19301;0.0;20.0;Yape
14MAR;CLAR000963438681;5.0;0.0;Yape
14MAR;ABON PLIN-DARLENE *;0.0;50.0;Yape
15MAR;Pago YAPE de 19474;0.0;30.0;Yape
17MAR;Pago YAPE de 19172;0.0;15.0;Yape
17MAR;Pago YAPE a 194766;11.2;0.0;Yape
17MAR;Pago YAPE de 19199;0.0;4.0;Yape
18MAR;PITA050010091184;220.0;0.0;Ahorro
18MAR;CLAR000991990346;5.0;0.0;Yape
19MAR;Giro/Retiro de efe;400.0;0.0;Yape
20MAR;Pago YAPE de 19172;0.0;300.0;Yape
21MAR;Pago YAPE de 19172;0.0;9.0;Yape
21MAR;Pago YAPE de 19172;0.0;60.0;Yape
21MAR;Pago YAPE de 19172;0.0;60.0;Yape
22MAR;Giro/Retiro de efe;300.0;0.0;Yape
22MAR;CLAR000963438681;5.0;0.0;Yape
22MAR;Pago YAPE a 191919;25.0;0.0;Yape
22MAR;Pago YAPE de 19475;0.0;10.0;Yape
22MAR;TRAN.CEL.BM.;0.0;25.0;Yape
23MAR;Pago YAPE de 48595;0.0;10.0;Yape
23MAR;Pago YAPE de 19376;0.0;100.0;Yape
24MAR;Pago YAPE de 19171;0.0;10.0;Yape
24MAR;Pago YAPE a 194967;30.0;0.0;Yape
25MAR;Pago YAPE de 19102;0.0;15.0;Yape
25MAR;Pago YAPE de 19171;0.0;7.5;Yape
26MAR;Pago YAPE a 194928;3.0;0.0;Yape
26MAR;Pago YAPE a 191919;8.0;0.0;Yape
27MAR;Pago YAPE a 191340;38.0;0.0;Yape
27MAR;Pago YAPE a 194061;2.5;0.0;Yape
27MAR;Pago YAPE a 191704;100.0;0.0;Yape
27MAR;Pago YAPE a 191948;24.0;0.0;Yape
28MAR;Pago YAPE de 19138;0.0;20.0;Yape
28MAR;CLAR000963438681;5.0;0.0;Yape
28MAR;PITA050010091184;102.7;0.0;Ahorro
29MAR;Pago YAPE a 191065;180.0;0.0;Yape
29MAR;Pago YAPE a 193995;3.0;0.0;Yape
29MAR;Pago YAPE a 191065;30.0;0.0;Yape
29MAR;Pago YAPE a 011150;120.0;0.0;Yape
29MAR;Pago YAPE a 193058;6.5;0.0;Yape
29MAR;ABON PLIN-AURIA CR *;0.0;24.0;Yape
29MAR;Pago YAPE a 191252;130.0;0.0;Yape
29MAR;Giro/Retiro de efe;100.0;0.0;Yape
29MAR;Pago YAPE a 191017;20.0;0.0;Yape
30MAR;Pago YAPE a 194967;30.0;0.0;Yape
30MAR;CLAR000940708423;5.0;0.0;Yape
30MAR;WOW0020240762146;67.4;0.0;Yape
31MAR;Pago YAPE a 194928;3.0;0.0;Yape
31MAR;Pago YAPE de 19197;0.0;3.5;Yape
01ABR;Pago YAPE a 191919;8.0;0.0;Yape
01ABR;Pago YAPE a 191919;2.0;0.0;Yape
02ABR;Pago YAPE a 194928;3.0;0.0;Yape
02ABR;Pago YAPE de 19101;0.0;26.0;Yape
02ABR;Pago YAPE a 191388;10.0;0.0;Yape
02ABR;Pago YAPE de 19376;0.0;200.0;Yape
03ABR;Giro/Retiro de efe;400.0;0.0;Yape
04ABR;Pago YAPE a 193365;125.0;0.0;Yape
04ABR;Pago YAPE a 194705;19.0;0.0;Yape
04ABR;PLIN-Jose Luis Gut;15.0;0.0;Yape
04ABR;PLIN-JAIME SABBAGG;220.0;0.0;Yape
04ABR;Pago YAPE a 191039;22.0;0.0;Yape
05ABR;CLAR000963438681;5.0;0.0;Yape
05ABR;Pago YAPE a 194035;61.0;0.0;Yape
05ABR;Pago YAPE a 191909;110.0;0.0;Yape
05ABR;Pago YAPE a 191704;100.0;0.0;Yape
06ABR;MOVI000962007515;10.0;0.0;Yape
07ABR;ABON PLIN-MARIA GI *;0.0;30.0;Yape
07ABR;PLIN-MARIA GIL;30.0;0.0;Yape
07ABR;Pago YAPE de 19377;0.0;50.0;Yape
08ABR;Pago YAPE a 194967;30.0;0.0;Yape
08ABR;DE RED PERUANA DE *;0.0;500.0;Ahorro
08ABR;Pago YAPE a 194928;3.0;0.0;Yape
09ABR;PAGOEFECTIVO;14.16;0.0;Yape
09ABR;Pago YAPE de 19377;0.0;9.0;Yape
09ABR;Giro/Retiro de efe;50.0;0.0;Yape
11ABR;Pago YAPE a 191004;7.5;0.0;Yape
12ABR;Giro/Retiro de efe;50.0;0.0;Yape
12ABR;Pago YAPE de 19197;0.0;35.0;Yape
12ABR;PLIN-Jose Luis Gut;15.0;0.0;Yape
12ABR;CLAR000963438681;5.0;0.0;Yape
12ABR;Pago YAPE a 191925;7.0;0.0;Yape
12ABR;Pago YAPE a 191992;13.0;0.0;Yape
14ABR;Giro/Retiro de efe;100.0;0.0;Yape
14ABR;Pago YAPE a 194928;3.0;0.0;Yape
15ABR;Pago YAPE a 194928;3.0;0.0;Yape
15ABR;Pago YAPE de 22003;0.0;8.0;Yape
15ABR;Pago YAPE de 19376;0.0;19.0;Yape
16ABR;CLAR000963438681;5.0;0.0;Yape
16ABR;Pago YAPE a 194928;3.0;0.0;Yape
16ABR;Giro/Retiro de efe;500.0;0.0;Yape
18ABR;CLAR000940708423;5.0;0.0;Yape
19ABR;Pago YAPE a 194762;3.0;0.0;Yape
20ABR;Pago YAPE a 191025;27.0;0.0;Yape
21ABR;Pago YAPE a 193922;28.0;0.0;Yape
21ABR;TRAN.CEL.BM.;0.0;150.0;Yape
21ABR;Giro/Retiro de efe;100.0;0.0;Yape
21ABR;Pago YAPE a 194967;20.0;0.0;Yape
22ABR;Giro/Retiro de efe;100.0;0.0;Yape
22ABR;TRAN.CEL.BM.;14.8;0.0;Ahorro
23ABR;ESTACION AYLLU;30.0;0.0;Ahorro
23ABR;Pago YAPE a 194928;3.0;0.0;Yape
23ABR;CLAR000963438681;5.0;0.0;Yape
24ABR;Giro/Retiro de efe;50.0;0.0;Yape
24ABR;Pago YAPE a 194061;2.0;0.0;Yape
25ABR;Pago YAPE a 191901;1.5;0.0;Yape
25ABR;Pago YAPE a 194928;3.0;0.0;Yape
25ABR;Pago YAPE a 191069;10.0;0.0;Yape
26ABR;Pago YAPE a 191901;3.2;0.0;Yape
26ABR;Pago YAPE de 29597;0.0;8.0;Yape
26ABR;Pago YAPE de 43599;0.0;32.0;Yape
27ABR;CLAR000963438681;5.0;0.0;Yape
28ABR;Giro/Retiro de efe;500.0;0.0;Yape
28ABR;Pago YAPE a 191992;46.0;0.0;Yape
28ABR;Pago YAPE a 375924;3.0;0.0;Yape
29ABR;CLAR000940708423;5.0;0.0;Yape
30ABR;Pago YAPE de 19107;0.0;10.0;Yape
30ABR;Pago YAPE a 194928;3.0;0.0;Yape
30ABR;WOW0020240762146;67.4;0.0;Ahorro
30ABR;PITA050010091184;220.0;0.0;Ahorro
30ABR;Pago YAPE de 19107;0.0;200.0;Yape
30ABR;Giro/Retiro de efe;200.0;0.0;Yape
01MAY;Pago YAPE de 19376;0.0;120.0;Yape
02MAY;TRAN.CEL.BM.;420.0;0.0;Ahorro
02MAY;TRANSF.BCO.SCOTIAB;0.0;1591.25;Ahorro
02MAY;IMPUESTO ITF *;0.05;0.0;Ahorro
02MAY;TRAN.CEL.BM.;100.0;0.0;Ahorro
02MAY;TRAN.CEL.BM.;330.0;0.0;Ahorro
02MAY;Pago YAPE a 191392;10.0;0.0;Yape
02MAY;Pago YAPE a 194783;36.0;0.0;Yape
02MAY;Pago YAPE a 191992;13.0;0.0;Yape
02MAY;Pago YAPE a 194921;25.0;0.0;Yape
03MAY;E S PROCERES;23.72;0.0;Ahorro
03MAY;Giro/Retiro de efe;50.0;0.0;Yape
03MAY;Pago YAPE a 375924;3.0;0.0;Yape
03MAY;Giro/Retiro de efe;100.0;0.0;Yape
03MAY;CLAR000963438681;5.0;0.0;Yape
05MAY;TRAN.CTAS.TERC.BM;0.0;1120.0;Ahorro
05MAY;IMPUESTO ITF *;0.05;0.0;Ahorro
05MAY;Pago YAPE de 19104;0.0;500.0;Yape
05MAY;Pago YAPE de 19104;0.0;100.0;Yape
05MAY;Pago YAPE a 375924;3.0;0.0;Yape
06MAY;Pago YAPE a 194967;20.0;0.0;Yape
06MAY;Giro/Retiro de efe;200.0;0.0;Yape
07MAY;IMPUESTO ITF *;0.05;0.0;Ahorro
07MAY;TRAN.CTAS.TERC.BM;0.0;1170.0;Ahorro
07MAY;Pago YAPE a 191901;2.0;0.0;Yape
07MAY;Pago YAPE a 194928;3.0;0.0;Yape
07MAY;Pago YAPE a 191720;300.0;0.0;Yape
08MAY;Pago YAPE a 194928;3.0;0.0;Yape
09MAY;Pago YAPE a 194928;3.0;0.0;Yape
10MAY;CLAR000963438681;5.0;0.0;Yape
12MAY;Pago YAPE a 194740;72.0;0.0;Yape
12MAY;Pago YAPE a 375924;3.0;0.0;Yape
12MAY;IZI*ALTA VIDDA GAS;23.34;0.0;Ahorro
12MAY;Pago YAPE a 194061;2.0;0.0;Yape
13MAY;Pago YAPE de 19104;0.0;2.0;Yape
13MAY;Giro/Retiro de efe;200.0;0.0;Yape
13MAY;RETIRO EFECTIVO;600.0;0.0;Ahorro
15MAY;CLAR000963438681;5.0;0.0;Yape
16MAY;CLAR000940708423;5.0;0.0;Yape
16MAY;Pago YAPE a 194752;1.2;0.0;Yape
17MAY;Giro/Retiro de efe;100.0;0.0;Yape
17MAY;Pago YAPE a 191992;33.0;0.0;Yape
17MAY;Pago YAPE a 191351;12.5;0.0;Yape
17MAY;TRAN.CEL.BM.INTERB;50.0;0.0;Ahorro
18MAY;TRAN.CTAS.TERC.BM;0.0;500.0;Ahorro
18MAY;TRAN.CTAS.TERC.BM;0.0;400.0;Ahorro
19MAY;ABON PLIN-HELBERT *;0.0;4.0;Yape
20MAY;TRAN.CEL.BM.INTERB;20.0;0.0;Ahorro
20MAY;Pago YAPE a 375924;3.0;0.0;Yape
20MAY;CLAR000963438681;5.0;0.0;Yape
20MAY;Pago YAPE a 194971;10.0;0.0;Yape
20MAY;Pago YAPE a 194061;2.0;0.0;Yape
21MAY;Pago YAPE a 194061;2.0;0.0;Yape
22MAY;Giro/Retiro de efe;300.0;0.0;Yape
23MAY;Pago YAPE a 191053;11.0;0.0;Yape
23MAY;Pago YAPE de 19197;0.0;100.0;Yape
23MAY;Pago YAPE a 191992;26.0;0.0;Yape
23MAY;Pago YAPE a 191901;3.5;0.0;Yape
23MAY;Pago YAPE a 375924;3.0;0.0;Yape
24MAY;CLAR000963438681;5.0;0.0;Yape
24MAY;Pago YAPE a 191709;3.0;0.0;Yape
24MAY;Pago YAPE a 194769;18.2;0.0;Yape
24MAY;Pago YAPE de 19197;0.0;61.5;Yape
25MAY;RETIRO EFECTIVO;20.0;0.0;Ahorro
25MAY;Pago YAPE de 19197;0.0;26.0;Yape
25MAY;Pago YAPE a 191992;39.0;0.0;Yape
25MAY;Pago YAPE a 194967;20.0;0.0;Yape
26MAY;Giro/Retiro de efe;100.0;0.0;Yape
27MAY;Giro/Retiro de efe;500.0;0.0;Yape
27MAY;Pago YAPE a 375924;3.0;0.0;Yape
27MAY;Pago YAPE a 191994;17.5;0.0;Yape
28MAY;Pago YAPE a 194061;4.0;0.0;Yape
28MAY;CLAR000963438681;5.0;0.0;Yape
29MAY;TRAN.CEL.BM.;234.0;0.0;Ahorro
29MAY;TRAN.CEL.BM.;200.0;0.0;Ahorro
29MAY;TRAN.CTAS.TERC.BM;830.0;0.0;Ahorro
29MAY;Pago YAPE a 375924;3.0;0.0;Yape
29MAY;CLAR000940708423;5.0;0.0;Yape
29MAY;Pago YAPE a 191923;10.8;0.0;Yape
29MAY;Pago YAPE a 191041;24.0;0.0;Yape
29MAY;Pago YAPE a 194046;8.0;0.0;Yape
30MAY;Pago YAPE a 191004;10.0;0.0;Yape
30MAY;TRAN.CEL.BM.;0.0;484.0;Yape
30MAY;Pago YAPE de 19196;0.0;500.0;Yape
30MAY;Pago YAPE de 19196;0.0;500.0;Yape
30MAY;Pago YAPE a 191725;15.0;0.0;Yape
30MAY;Pago YAPE a 375924;3.0;0.0;Yape
31MAY;Giro/Retiro de efe;500.0;0.0;Yape
31MAY;Pago YAPE a 194767;32.0;0.0;Yape
31MAY;WOW0020240762146;67.4;0.0;Yape
31MAY;IMPUESTO ITF *;0.05;0.0;Ahorro
31MAY;Pago YAPE a 375924;3.0;0.0;Yape
31MAY;TRAN.CTAS.TERC.BM;1725.1;0.0;Ahorro
01JUN;Pago YAPE a 191700;4.0;0.0;Yape
01JUN;Pago YAPE a 191701;12.0;0.0;Yape
03JUN;IMPUESTO ITF *;0.05;0.0;Ahorro
03JUN;Pago YAPE de 19100;0.0;15.0;Yape
03JUN;PITA050010091184;220.0;0.0;Ahorro
03JUN;TRAN.CTAS.TERC.BM;0.0;1000.0;Ahorro
04JUN;CLAR000940708423;5.0;0.0;Yape
04JUN;Pago YAPE a 191720;95.0;0.0;Yape
04JUN;Pago YAPE a 191720;300.0;0.0;Yape
05JUN;Pago YAPE a 194061;4.0;0.0;Yape
06JUN;Pago YAPE a 191992;26.0;0.0;Yape
06JUN;Pago YAPE a 191992;13.0;0.0;Yape
07JUN;TRAN.CEL.BM.;323.0;0.0;Ahorro
09JUN;CLAR000963438681;5.0;0.0;Yape
10JUN;Pago YAPE de 19103;0.0;6.0;Yape
10JUN;Pago YAPE de 19197;0.0;30.0;Yape
10JUN;PLIN-Jose Luis Gut;50.0;0.0;Yape
10JUN;Pago YAPE a 191989;40.0;0.0;Yape
10JUN;Pago YAPE de 19100;0.0;23.5;Yape
10JUN;Pago YAPE a 194967;20.0;0.0;Yape
11JUN;Pago YAPE de 19377;0.0;500.0;Yape
11JUN;Pago YAPE de 19377;0.0;67.5;Yape
11JUN;CLAR000963438681;5.0;0.0;Yape
11JUN;Pago YAPE a 375924;3.0;0.0;Yape
11JUN;Pago YAPE de 19377;0.0;500.0;Yape
11JUN;Pago YAPE de 19377;0.0;500.0;Yape
13JUN;Pago YAPE a 194061;2.5;0.0;Yape
13JUN;Pago YAPE a 191941;11.0;0.0;Yape
13JUN;Pago YAPE a 191992;39.0;0.0;Yape
14JUN;IMPUESTO ITF *;0.05;0.0;Ahorro
14JUN;E S PROCERES;21.46;0.0;Ahorro
14JUN;TRAN.CTAS.TERC.BM;0.0;1260.0;Ahorro
14JUN;PLIN-Jose Luis Gut;73.0;0.0;Yape
15JUN;Pago YAPE a 191992;13.0;0.0;Yape
17JUN;Pago YAPE a 194061;4.0;0.0;Yape
17JUN;Pago YAPE a 193780;10.0;0.0;Yape
18JUN;TRAN.CTAS.TERC.BM;455.0;0.0;Ahorro
19JUN;ABON PLIN-CECILIA *;0.0;450.0;Yape
19JUN;ABON PLIN-CECILIA *;0.0;450.0;Yape
20JUN;Pago YAPE a 191069;10.0;0.0;Yape
20JUN;CLAR000963438681;5.0;0.0;Yape
22JUN;Pago YAPE a 191994;22.5;0.0;Yape
22JUN;Pago YAPE a 191992;13.0;0.0;Yape
22JUN;Pago YAPE de 19197;0.0;10.0;Yape
22JUN;CLAR000940708423;5.0;0.0;Yape
23JUN;Pago YAPE a 194967;10.0;0.0;Yape
24JUN;PLIN-Jose Luis Gut;30.0;0.0;Yape
24JUN;Pago YAPE a 194061;4.0;0.0;Yape
25JUN;TRAN.CTAS.TERC.BM;6100.0;0.0;Ahorro
25JUN;TRAN.CEL.BM.;15.0;0.0;Ahorro
25JUN;Pago YAPE a 191403;1.3;0.0;Yape
25JUN;PLIN-Jose Luis Gut;50.0;0.0;Yape
25JUN;Pago YAPE de 19107;0.0;500.0;Yape
25JUN;Pago YAPE de 19107;0.0;500.0;Yape
25JUN;Pago YAPE de 19107;0.0;500.0;Yape
25JUN;Pago YAPE de 19107;0.0;500.0;Yape
25JUN;Pago YAPE de 19100;0.0;6.0;Yape
25JUN;IMPUESTO ITF *;0.3;0.0;Ahorro
25JUN;CREDITO YAPE;0.0;200.0;Yape
26JUN;Pago YAPE a 375924;3.0;0.0;Yape
26JUN;TRAN.CEL.BM.;30.0;0.0;Ahorro
28JUN;Pago YAPE de 19107;0.0;100.0;Yape
28JUN;Pago YAPE de 19100;0.0;12.0;Yape
28JUN;Pago YAPE de 19197;0.0;3.0;Yape
28JUN;CLAR000940708423;5.0;0.0;Yape
28JUN;Pago YAPE de 19107;0.0;400.0;Yape
28JUN;Giro/Retiro de efe;500.0;0.0;Yape
29JUN;Pago YAPE de 19100;0.0;22.0;Yape
30JUN;Pago YAPE a 191919;10.0;0.0;Yape
30JUN;CLAR000963438681;5.0;0.0;Yape
30JUN;WOW0020240762146;67.4;0.0;Yape
30JUN;Pago YAPE a 194061;4.0;0.0;Yape
01JUL;Pago YAPE a 375924;3.0;0.0;Yape
01JUL;Pago YAPE a 191004;10.0;0.0;Yape
02JUL;Pago YAPE a 375924;3.0;0.0;Yape
03JUL;PITA050010091184;220.0;0.0;Yape
03JUL;Pago YAPE de 19107;0.0;200.0;Yape
03JUL;Pago YAPE a 375924;3.0;0.0;Yape
03JUL;Pago YAPE a 191901;4.4;0.0;Yape
05JUL;Pago YAPE de 19100;0.0;8.0;Yape
05JUL;CLAR000963438681;5.0;0.0;Yape
06JUL;Pago YAPE a 191992;39.0;0.0;Yape
07JUL;Pago YAPE de 19107;0.0;500.0;Yape
07JUL;Giro/Retiro de efe;500.0;0.0;Yape
07JUL;CLAR000940708423;5.0;0.0;Yape
08JUL;Pago YAPE a 375924;3.0;0.0;Yape
08JUL;Pago YAPE a 191038;4.5;0.0;Yape
09JUL;Pago YAPE a 375924;3.0;0.0;Yape
09JUL;Pago YAPE a 191941;10.0;0.0;Yape
09JUL;Pago YAPE de 19100;0.0;27.0;Yape
09JUL;Pago YAPE a 194967;20.0;0.0;Yape
10JUL;COBRO CREDITO YAPE;154.52;0.0;Yape
10JUL;COBRO CREDITO YAPE;51.79;0.0;Yape
10JUL;Pago YAPE de 19107;0.0;200.0;Yape
11JUL;Pago YAPE a 375924;3.0;0.0;Yape
11JUL;Pago YAPE a 191901;1.5;0.0;Yape
